epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,621.459,1.12753,1.74026,1.1989,0.85956,0.77323,0.78406,0.5754,0.89881,0.82297,1.14021,0.00023783,0.00023783,0.00023783
2,1142,1.02515,1.007,1.14904,0.83819,0.76154,0.84261,0.6336,0.86819,0.74394,1.11282,0.000452276,0.000452276,0.000452276
3,1638.54,1.00027,0.85395,1.14013,0.87228,0.76799,0.88174,0.66099,0.84126,0.68698,1.10287,0.000643161,0.000643161,0.000643161
4,2133.15,0.97738,0.77947,1.13068,0.85292,0.84341,0.88193,0.6636,0.84224,0.59378,1.10211,0.000607971,0.000607971,0.000607971
5,2628.7,0.95518,0.71054,1.11953,0.88598,0.87159,0.9099,0.71236,0.79474,0.56761,1.07758,0.000572628,0.000572628,0.000572628
6,3125.08,0.92714,0.67173,1.10481,0.87786,0.89303,0.91512,0.71818,0.78471,0.51076,1.07198,0.000537285,0.000537285,0.000537285
7,528.638,0.91176,0.64908,1.09866,0.89293,0.89239,0.92778,0.72039,0.78292,0.4938,1.07239,0.000501942,0.000501942,0.000501942
8,1015.67,0.89729,0.63195,1.08965,0.89793,0.8834,0.92244,0.72572,0.77126,0.48064,1.05298,0.000466599,0.000466599,0.000466599
9,1513,0.88804,0.60858,1.08531,0.8919,0.89286,0.92202,0.73367,0.75616,0.47776,1.05535,0.000431256,0.000431256,0.000431256
10,2005.2,0.87395,0.5906,1.0789,0.90935,0.88403,0.93041,0.74075,0.74889,0.46497,1.04687,0.000395913,0.000395913,0.000395913
11,2468.72,0.87156,0.54323,1.11527,0.89884,0.89286,0.93379,0.74175,0.75156,0.47355,1.04935,0.00036057,0.00036057,0.00036057
12,2920.89,0.85658,0.52918,1.1006,0.90556,0.88622,0.93448,0.7499,0.73811,0.45398,1.03773,0.000325227,0.000325227,0.000325227
13,3376.67,0.84217,0.51617,1.09311,0.8884,0.90445,0.93488,0.75224,0.72704,0.45319,1.02853,0.000289884,0.000289884,0.000289884
14,3839.89,0.83035,0.50853,1.08357,0.90694,0.90815,0.93802,0.75578,0.72952,0.44422,1.03079,0.000254541,0.000254541,0.000254541
15,4295.62,0.82211,0.4971,1.08314,0.91516,0.90085,0.93816,0.75628,0.72476,0.4464,1.02885,0.000219198,0.000219198,0.000219198
16,4754.96,0.81177,0.48504,1.07426,0.90662,0.90554,0.93878,0.76034,0.73066,0.43813,1.03038,0.000183855,0.000183855,0.000183855
17,5215.22,0.80201,0.47769,1.06439,0.90125,0.90677,0.93939,0.76135,0.71668,0.44086,1.022,0.000148512,0.000148512,0.000148512
18,5680.93,0.79539,0.46924,1.06311,0.90091,0.91275,0.94086,0.76456,0.7212,0.43567,1.02693,0.000113169,0.000113169,0.000113169
19,6142.76,0.78421,0.45849,1.05906,0.90779,0.91029,0.94086,0.76531,0.72087,0.4331,1.02253,7.7826e-05,7.7826e-05,7.7826e-05
20,6599.61,0.77503,0.45332,1.05276,0.90611,0.90908,0.94005,0.76354,0.72354,0.43705,1.02397,4.2483e-05,4.2483e-05,4.2483e-05
